Country Name;Indicator Name;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Afghanistan;Indice de performance logistique : performance globale (1=faible et 5=élevée);1.21;;;2.24;;2.3;;2.069573;;2.141282;;1.95;;;;1.9
Angola;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.48;;;2.25;;2.28;;2.54298;;2.241183;;2.05;;;;2.1
Albanie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.08;;;2.46;;2.77;;;;2.412498;;2.66;;;;2.5
Andorre;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Le monde arabe;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.62736842105263;;;2.70157894736842;;2.7075;;2.6422202;;2.7123212;;2.67809523809524;;;;2.79375
Émirats arabes unis;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.73;;;3.63;;3.78;;3.539098;;3.941767;;3.96;;;;4
Argentine;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.98;;;3.1;;3.05;;2.986475;;2.962629;;2.89;;;;2.8
Arménie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.14;;;2.52;;2.56;;2.672723;;2.205513;;2.61;;;;2.5
Samoa américaines;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Antigua-et-Barbuda;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;2.9
Australie;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.79;;;3.84;;3.73;;3.810776;;3.793385;;3.75;;;;3.7
Autriche;Indice de performance logistique : performance globale (1=faible et 5=élevée);4.06;;;3.76;;3.89;;3.648587;;4.097985;;4.03;;;;4
Azerbaïdjan;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.29;;;2.64;;2.48;;2.448376;;;;;;;;
Burundi;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.29;;;;;1.61;;2.565735;;2.509776;;2.06;;;;
Belgique;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.89;;;3.94;;3.98;;4.04466;;4.108538;;4.04;;;;4
Bénin;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.45;;;2.79;;2.85;;2.560822;;2.428125;;2.75;;;;2.9
Burkina Faso;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.24;;;2.23;;2.32;;2.6383;;2.73081;;2.62;;;;2.3
Bangladesh;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.47;;;2.74;;;;2.56334;;2.663902;;2.58;;;;2.6
Bulgarie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.87;;;2.83;;3.21;;3.157151;;2.807685;;3.03;;;;3.2
Bahreïn;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.15;;;3.37;;3.05;;3.083116;;3.314021;;2.93;;;;3.5
Bahamas;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.75;;2.75;;2.910966;;2.749937;;2.53;;;;2.7
Bosnie-Herzégovine;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.46;;;2.66;;2.99;;2.747618;;2.596254;;2.81;;;;3
Bélarus;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.53;;;;;2.61;;2.638168;;2.399232;;2.57;;;;2.7
Belize;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Bermudes;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Bolivie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.31;;;2.51;;2.61;;2.480758;;2.251462;;2.36;;;;2.4
Brésil;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.75;;;3.2;;3.13;;2.943951;;3.087984;;2.99;;;;3.2
Barbade;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Brunéi Darussalam;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;2.870492;;2.71;;;;
Bhoutan;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.16;;;2.38;;2.52;;2.29013;;2.321436;;2.17;;;;2.5
Botswana;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.32;;2.84;;2.492775;;3.045458;;;;;;3.1
République centrafricaine;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;2.360932;;;;2.15;;;;2.5
Canada;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.92;;;3.87;;3.85;;3.855498;;3.930707;;3.73;;;;4
Suisse;Indice de performance logistique : performance globale (1=faible et 5=élevée);4.02;;;3.97;;3.8;;3.843969;;3.987158;;3.9;;;;4.1
Îles Anglo-Normandes;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Chili;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.25;;;3.09;;3.17;;3.255786;;3.248442;;3.32;;;;3
Chine;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.32;;;3.49;;3.52;;3.531463;;3.661104;;3.61;;;;3.7
Côte d'Ivoire;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.36;;;2.53;;2.73;;2.761981;;2.602573;;3.08;;;;
Cameroun;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.49;;;2.55;;2.53;;2.296616;;2.151499;;2.6;;;;2.1
Colombie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.5;;;2.77;;2.87;;2.639637;;2.612351;;2.94;;;;2.9
Comores;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.48;;;2.45;;2.14;;2.402136;;2.57914;;2.56;;;;
Cabo Verde;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Costa Rica;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.55;;;2.91;;2.75;;2.700719;;2.64897;;2.79;;;;2.9
Cuba;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.07;;2.2;;2.179734;;2.346459;;2.2;;;;2.2
Curacao;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Îles Caïmans;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Chypre;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.92;;;3.13;;3.24;;3.000577;;2.999061;;3.15;;;;3.2
République tchèque;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.13;;;3.51;;3.14;;3.492416;;3.674309;;3.68;;;;3.3
Allemagne;Indice de performance logistique : performance globale (1=faible et 5=élevée);4.1;;;4.11;;4.03;;4.121983;;4.225967;;4.2;;;;4.1
Djibouti;Indice de performance logistique : performance globale (1=faible et 5=élevée);1.94;;;2.39;;1.8;;2.149867;;2.32254;;2.63;;;;2.7
Dominique;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Danemark;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.86;;;3.85;;4.02;;3.78252;;3.815794;;3.99;;;;4.1
République dominicaine;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.38;;;2.82;;2.7;;2.860551;;2.62728;;2.66;;;;2.6
Algérie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.06;;;2.36;;2.41;;2.649451;;2.769683;;2.45;;;;2.5
Asie de l’Est et Pacifique (hors revenu élevé);Indice de performance logistique : performance globale (1=faible et 5=élevée);2.58153846153846;;;2.72692307692308;;2.77230769230769;;2.85316438461538;;2.787426;;2.81538461538462;;;;2.95833333333333
Asie de l’Est et Pacifique;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.0235;;;3.1115;;3.139;;3.18375385;;3.13744447619048;;3.14761904761905;;;;3.3
Équateur;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.6;;;2.77;;2.76;;2.710986;;2.779081;;2.88;;;;
Érythrée;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.19;;;1.7;;2.11;;2.084755;;2.171842;;2.09;;;;
Espagne;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.52;;;3.63;;3.7;;3.718636;;3.727412;;3.83;;;;3.9
Estonie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.95;;;3.16;;2.86;;3.34592;;3.363489;;3.31;;;;3.6
Éthiopie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.33;;;2.41;;2.24;;2.593625;;2.376767;;;;;;
Union européenne;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.40692307692308;;;3.44296296296296;;3.45;;3.54286218518519;;3.59299633333333;;3.51925925925926;;;;3.61851851851852
Finlande;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.82;;;3.89;;4.05;;3.623035;;3.920745;;3.97;;;;4.2
Fidji;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.24;;2.42;;2.545003;;2.316186;;2.35;;;;2.3
France;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.76;;;3.84;;3.85;;3.847305;;3.900953;;3.84;;;;3.9
Îles Féroé;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Gabon;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.1;;;2.41;;2.34;;2.202899;;2.19165;;2.16;;;;2.4
Royaume-Uni;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.99;;;3.95;;3.9;;4.014649;;4.069669;;3.99;;;;3.7
Géorgie;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.61;;2.77;;2.507491;;2.353013;;2.44;;;;2.7
Ghana;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.16;;;2.47;;2.51;;2.626934;;2.660931;;2.57;;;;2.5
Gibraltar;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Guinée;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.71;;;2.6;;2.48;;2.464191;;2.35896;;2.2;;;;2.5
Gambie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.52;;;2.49;;2.46;;2.249081;;;;2.4;;;;2.3
Guinée-Bissau;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.28;;;2.1;;2.6;;2.426464;;2.370681;;2.39;;;;2.6
Guinée équatoriale;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;2.354636;;1.87919;;2.32;;;;
Grèce;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.36;;;2.96;;2.83;;3.201602;;3.239516;;3.2;;;;3.7
Grenade;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;2.5
Groenland;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Guatemala;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.53;;;2.63;;2.8;;2.797453;;2.476327;;2.41;;;;2.6
Guam;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Guyana;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.05;;;2.27;;2.33;;2.459132;;2.667018;;2.36;;;;2.4
Honduras;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.5;;;2.78;;2.53;;2.607427;;2.462812;;2.6;;;;2.9
Croatie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.71;;;2.77;;3.16;;3.052949;;3.160829;;3.1;;;;3.3
Haïti;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.21;;;2.59;;2.03;;2.269601;;1.716096;;2.11;;;;2.1
Hongrie;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.15;;;2.99;;3.17;;3.464438;;3.428968;;3.42;;;;3.2
BIRD seulement;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.61924528301887;;;2.76368421052632;;2.81431034482759;;2.83754173684211;;2.75520366101695;;2.77155172413793;;;;2.86111111111111
BIRD et IDA;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.43559633027523;;;2.60081818181818;;2.622;;2.63636264347826;;2.58694207017544;;2.60491228070175;;;;2.69255319148936
Indonésie;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.01;;;2.76;;2.94;;3.081806;;2.984537;;3.15;;;;3
Île de Man;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Inde;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.07;;;3.12;;3.08;;3.080137;;3.420043;;3.18;;;;3.4
Non classifié;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Irlande;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.91;;;3.89;;3.52;;3.868014;;3.794886;;3.51;;;;3.6
Iraq;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.11;;2.16;;2.29784;;2.149902;;2.18;;;;2.4
Islande;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;3.2;;3.39;;3.391863;;3.345605;;3.23;;;;3.6
Israël;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.21;;;3.41;;;;3.260446;;3.66033;;3.31;;;;3.6
Italie;Indice de performance logistique : performance globale (1=faible et 5=élevée);3.58;;;3.64;;3.67;;3.691076;;3.755414;;3.74;;;;3.7
Jamaïque;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.25;;;2.53;;2.42;;2.842494;;2.400214;;2.52;;;;2.5
Jordanie;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.89;;;2.74;;2.56;;2.873924;;2.956611;;2.69;;;;
Japon;Indice de performance logistique : performance globale (1=faible et 5=élevée);4.02;;;3.97;;3.93;;3.914618;;3.970464;;4.03;;;;3.9
Kazakhstan;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.12;;;2.83;;2.69;;2.69942;;2.751998;;2.81;;;;2.7
Kenya;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.52;;;2.59;;2.43;;2.812079;;3.331295;;2.81;;;;
République kirghize;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.35;;;2.62;;2.35;;2.209336;;2.15593;;2.55;;;;2.3
Cambodge;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.5;;;2.37;;2.56;;2.741407;;2.80059;;2.58;;;;2.4
Kiribati;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Saint-Kitts-et-Nevis;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
Koweït;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.99;;;3.28;;2.83;;3.0113;;3.151619;;2.86;;;;3.2
Amérique latine et Caraïbes (hors revenu élevé);Indice de performance logistique : performance globale (1=faible et 5=élevée);2.54;;;2.73470588235294;;2.683125;;2.72836905882353;;2.59865941176471;;2.653125;;;;2.67058823529412
Liban;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.37;;;3.34;;2.58;;2.725805;;2.717255;;2.72;;;;
Libéria;Indice de performance logistique : performance globale (1=faible et 5=élevée);2.31;;;2.38;;2.45;;2.62;;2.203914;;2.23;;;;2.4
Libye;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;2.33;;2.28;;2.496979;;2.264495;;2.11;;;;1.9
Sainte-Lucie;Indice de performance logistique : performance globale (1=faible et 5=élevée);;;;;;;;;;;;;;;;
